Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"3042" TT,"285271","13:29:26.96"
"3044" TT,"627280","13:22:31.85"
"3045" TT,"539581","13:29:11.77"
"3047" TT,"111964",""
"3048" TT,"178629","13:25:00.75"
"3050" TT,"141302",""
"3052" TT,"58998",""
"3054" TT,"37604","13:25:00.77"
"3055" TT,"197360","09:27:23.37"
"3056" TT,"160953","13:23:50.88"
"3057" TT,"167529","13:24:13.02"
"3058" TT,"96876","09:01:20.13"
"3059" TT,"3495159","13:29:14.78"
"3060" TT,"262094","13:29:25.73"
"3062" TT,"370953","13:29:08.24"
"3064" TT,"0",""
"3066" TT,"0",""
"3068" TT,"272036","13:29:29.63"
"3073" TT,"0",""
"3078" TT,"417534","13:24:54.04"
"3081" TT,"503483","13:32:07.62"
"3083" TT,"99191",""
"3085" TT,"0",""
"3086" TT,"0",""
"3088" TT,"146043","13:25:00.64"
"3089" TT,"0",""
"3090" TT,"113194",""
"3092" TT,"824507","13:24:47.22"
"3093" TT,"1086",""
"3094" TT,"202251","13:25:00.81"
"3095" TT,"0",""
"3105" TT,"990689","13:29:18.66"
"3114" TT,"489089",""
"3118" TT,"10604",""
"3122" TT,"40756",""
"3128" TT,"24706",""
"3130" TT,"11452",""
"3131" TT,"164628",""
"3141" TT,"187668","13:24:48.22"
"3144" TT,"533503","13:24:24.05"
"3149" TT,"237458",""
"3152" TT,"84587","13:25:39.48"
"3162" TT,"0",""
"3163" TT,"207110",""
"3164" TT,"17133","13:23:30.92"
"3167" TT,"765081","13:24:36.50"
"3169" TT,"214974",""
"3171" TT,"3063",""
"3188" TT,"0",""
"3189" TT,"1200514","13:29:00.91"
"3191" TT,"0",""
"3202" TT,"296084",""
"3205" TT,"158873",""
"3206" TT,"99321",""
"3207" TT,"0",""
"3209" TT,"180516",""
"3211" TT,"94412",""
"3213" TT,"225446","13:24:58.15"
"3217" TT,"177780","13:24:21.40"
"3218" TT,"197969",""
"3221" TT,"42527",""
"3224" TT,"102355","13:24:32.56"
"3226" TT,"4012",""
"3227" TT,"2886274","13:24:13.43"
"3230" TT,"33984",""
"3231" TT,"2526080","13:29:25.91"
"3232" TT,"108401",""
"3234" TT,"275148","13:24:54.27"
"3236" TT,"615633","13:24:35.46"
"3252" TT,"39631",""
"3257" TT,"139791","13:23:34.85"
"3259" TT,"0",""
"3260" TT,"1709508","13:29:23.16"
"3264" TT,"792340","13:29:21.74"
"3265" TT,"78910",""
"3266" TT,"12884",""
